,species,family,name,region,part,source
942,Pelargonium capitatum,Geraniaceae,rose geranium,S Afr,leaf,van_wyk_culinary_2014
943,Pelargonium capitatum,Geraniaceae,rose pelargonium,S Afr,leaf,van_wyk_culinary_2014
944,Pelargonium ×citrosum,Geraniaceae,citrosa geranium,cultivated,leaf,van_wyk_culinary_2014
945,Pelargonium ×citrosum,Geraniaceae,mosquito plant,cultivated,leaf,van_wyk_culinary_2014
946,Pelargonium crispum,Geraniaceae,lemon geranium,S Afr,leaf,van_wyk_culinary_2014
947,Pelargonium crispum,Geraniaceae,curled leaved cranesbill,S Afr,leaf,van_wyk_culinary_2014
948,Pelargonium ×fragrans,Geraniaceae,nutmeg scented geranium,S Afr,leaf,van_wyk_culinary_2014
949,Pelargonium ×graveolens,Geraniaceae,rose geranium,cultivated,leaf,van_wyk_culinary_2014
950,Pelargonium ×graveolens,Geraniaceae,Bourbon geranium,cultivated,leaf,van_wyk_culinary_2014
951,Pelargonium ×graveolens,Geraniaceae,rose pelargonium,cultivated,leaf,van_wyk_culinary_2014
952,Pelargonium ×graveolens,Geraniaceae,sweet-scented geranium,cultivated,leaf,van_wyk_culinary_2014
953,Pelargonium ×limoneum,Geraniaceae,English finger-bowl geranium,cultivated,leaf,van_wyk_culinary_2014
954,Pelargonium odoratissimum,Geraniaceae,apple-scented geranium,S Afr,leaf,van_wyk_culinary_2014
955,Pelargonium radens,Geraniaceae,mint geranium,S Afr,leaf,van_wyk_culinary_2014
956,Pelargonium radens,Geraniaceae,balsam (scented) geranium,S Afr,leaf,van_wyk_culinary_2014
957,Pelargonium tomentosum,Geraniaceae,peppermint-scented geranium,S Afr,leaf,van_wyk_culinary_2014
958,Peperomia pellucida,Piperaceae,pepper elder,Trop Am,herb,van_wyk_culinary_2014
959,Peperomia pellucida,Piperaceae,rabbit ear,Trop Am,herb,van_wyk_culinary_2014
960,Perilla frutescens,Lamiaceae,shiso,E As,leaf; herb,van_wyk_culinary_2014
961,Perilla frutescens,Lamiaceae,beefsteak plant,E As,leaf; herb,van_wyk_culinary_2014
962,Perilla frutescens,Lamiaceae,perilla,E As,leaf; herb,van_wyk_culinary_2014
963,Perilla frutescens,Lamiaceae,purple mint,E As,leaf; herb,van_wyk_culinary_2014
964,Persicaria hydropiper,Polygonaceae,water pepper,SE As,leaf; herb,van_wyk_culinary_2014
965,Persicaria odorata,Polygonaceae,Vietnamese coriander,SE As,leaf,van_wyk_culinary_2014
966,Persicaria odorata,Polygonaceae,Vietnamese mint,SE As,leaf,van_wyk_culinary_2014
967,Persicaria odorata,Polygonaceae,laksa leaf,SE As,leaf,van_wyk_culinary_2014
968,Petroselinum crispum,Apiaceae,parsley,Eur; W As,leaf,van_wyk_culinary_2014
969,Peucedanum ostruthium,Apiaceae,hog fennel,S Eur,rhizome,van_wyk_culinary_2014
970,Peumus boldus,Monimiaceae,boldo,Chile,leaf,van_wyk_culinary_2014
971,Phyllanthus emblica,Euphorbiaceae,emblic,Trop As,fruit,van_wyk_culinary_2014
972,Phyllanthus emblica,Euphorbiaceae,emblic myrobalan,Trop As,fruit,van_wyk_culinary_2014
973,Phyllanthus emblica,Euphorbiaceae,Indian gooseberry,Trop As,fruit,van_wyk_culinary_2014
974,Physalis philadelphica (=P. ixocarpa),Solanaceae,tomatillo,Mex,ripe fruit,van_wyk_culinary_2014
975,Physalis philadelphica (=P. ixocarpa),Solanaceae,jamberry,Mex,ripe fruit,van_wyk_culinary_2014
976,Physalis pubescens,Solanaceae,downy ground cherry,N Am,ripe fruit,van_wyk_culinary_2014
977,Physalis pubescens,Solanaceae,ground cherry,N Am,ripe fruit,van_wyk_culinary_2014
