species,family,name,region,part,source
Carthamus tinctorius,Asteraceae,safflower; false saffron; saffron thistle,N Afr; W As,flower; fruit,van_wyk_culinary_2014
Carum carvi,Apiaceae,caraway,Med,fruit,van_wyk_culinary_2014
Centauria benedicta (=Cnicus benedictus),Asteraceae,blessed thistle; holy thistle,Eur; W As,herb,van_wyk_culinary_2014
Centaurium erythraea,Gentianaceae,centaury; feverwort; pink centaury,Eur; As,herb,van_wyk_culinary_2014
Ceratonia siliqua,Leguminosae,carob; locust bean; St John’s bread,Eur; W As,fruit,van_wyk_culinary_2014
Chamaemelum nobile,Asteraceae,Roman chamomile,Eur,flower,van_wyk_culinary_2014
Chenopodium ambrosioides,Chenopodiaceae,blue weed; goose foot; lamb’s quarters; pigweed,C Am; S Am,leaf; herb,van_wyk_culinary_2014
Chenopodium botrys,Chenopodiaceae,Jerusalem oak; slimy anserine herb,Eur; C As,fresh herb,van_wyk_culinary_2014
Chloranthus spicatus,Chloranthaceae,pearl orchid flower; chulan; cha ran,SE As,flower; leaf,van_wyk_culinary_2014
Chrysanthemum balsamita,Asteraceae,alecost; costmary,Eur,herb,van_wyk_culinary_2014
Chrysanthemum coronarium,Asteraceae,chop suey greens; crown daisy; garland chrysanthemum; garland daisy; tangho; Japanese greens,Med,leaf; seedlings,van_wyk_culinary_2014
Chrysanthemum ×morifolium,Asteraceae,ju hua; florist chrysanthemum,China,flower heads ,van_wyk_culinary_2014
Chrysanthemum vulgare,Asteraceae,tansy,Eur; Med,leaf,van_wyk_culinary_2014
Chrysopogon zizanioides (=Vetiveria zizanioides),Poaceae,vetiver (grass); cus cus (grass); khus khus (grass),Ind,rhizome; root,van_wyk_culinary_2014
Cichorium endivia,Asteraceae,endive,Med,leaf,van_wyk_culinary_2014
Cinchona officinalis,Rubiaceae,quinine; chinabark; Peruvian bark; yellow cinchona; ledger bark; yellow bark,S Am,bark,van_wyk_culinary_2014
Cinchona pubescens,Rubiaceae,quinine; red cinchona; red Peruvian; red bark; Jesuit bark,S Am,bark,van_wyk_culinary_2014
Cinnamomum aromaticum (=C. cassia),Lauraceae,cassia; Chinese cinnamon; Chinese cassia,Myanmar,bark,van_wyk_culinary_2014
Cinnamomum burmanii,Lauraceae,Indonesian cassia; Padang cassia; Batavia cassia; Korintje cassia,SE As,bark; leaf,van_wyk_culinary_2014
Cinnamomum camphora,Lauraceae,camphor,As; E As,gum,van_wyk_culinary_2014
Cinnamomum loureiroi,Lauraceae,Vietnamese cassia; Saigon cinnamon,SE As,bark; flower,van_wyk_culinary_2014
Cinnamomum tamala,Lauraceae,Indian cassia lignea; Indian bark; Malabathri bark,Ind,leaf; bark,van_wyk_culinary_2014
Cinnamomum verum (=C. zeylanicum),Lauraceae,cinnamon; Ceylon cinnamon,Sri Lanka; SW Ind,bark; leaf,van_wyk_culinary_2014
Citrus aurantiifolia,Rutaceae,lime; limon; key lime; Mexican lime; sour lime; Persian lime; West Indian lime,Trop As,fruit; leaves,van_wyk_culinary_2014
Citrus aurantium,Rutaceae,bigarade; bitter orange; Seville orange; orange (American),Trop As,flower; peel; juice,van_wyk_culinary_2014
Citrus bergamia,Rutaceae,bergamot; bergamot orange,Med,peel of ripe fruits,van_wyk_culinary_2014
Citrus cavaleriei,Rutaceae,ichang papeda,Trop As,fruit,van_wyk_culinary_2014
Citrus ×deliciosa,unknown,Mediterranean mandarin,Trop As,fruit,van_wyk_culinary_2014
Citrus hystrix,Rutaceae,lime leaf; makrut lime; papeda,Trop As,leaf; fruit,van_wyk_culinary_2014
Citrus jambhiri,Rutaceae,rough lemon,Trop As,fruit,van_wyk_culinary_2014
Citrus ×junos,Rutaceae,yuzu,W China,fruit,van_wyk_culinary_2014
Citrus latifolia,Rutaceae,Tahiti lime; Persian lime; seedless lime,Trop As,fruit (juice); peel,van_wyk_culinary_2014
Citrus limon,Rutaceae,lemon,Trop As,peel; fruit,van_wyk_culinary_2014
Citrus madurensis,Rutaceae,calamondin,Trop As,fruit,van_wyk_culinary_2014
Citrus medica var. medica,Rutaceae,citron; citron peel,Trop As; C As,fruit,van_wyk_culinary_2014
Citrus medica var. sarcodactylis,Rutaceae,Buddha’s hand,Trop As,fruit; peel,van_wyk_culinary_2014
Citrus myrtifolia,Rutaceae,myrtle leaf orange,Trop As,fruit; peel,van_wyk_culinary_2014
Citrus nobilis,Rutaceae,king mandarin,Trop As,fruit,van_wyk_culinary_2014
Citrus reticulata,Rutaceae,tangerine; mandarin; clementine; nartjie,E As; China,peeled fruit,van_wyk_culinary_2014
Citrus sinensis,Rutaceae,orange; blood orange; navel orange; sweet orange; Valencia orange,Trop As,fruit; peel; flower,van_wyk_culinary_2014
Citrus trifoliata (=Poncirus trifoliata),Rutaceae,trifoliate orange; citrangequat; Japanese bitter orange,C & N China,fruit,van_wyk_culinary_2014
Citrus unshiu,Rutaceae,satsuma mandarin; unshiu mikan,Trop As; China,fruit,van_wyk_culinary_2014
Clausena anisata,Rutaceae,horsewood; clausena,Afr,leaf,van_wyk_culinary_2014
Clausena anisum-olens,Rutaceae,kayumanis; danglais,E As,leaf,van_wyk_culinary_2014
Clausena excavata,Rutaceae,pink lime-berry; Hollywood clausena,SE As,leaf,van_wyk_culinary_2014
Clausena lansium,Rutaceae,Chinese wampee; wampi,E As,leaf,van_wyk_culinary_2014
Cleome gynandra,Capparaceae,African mustard; African spider flower,Afr; As,leaf; fruit; seed,van_wyk_culinary_2014
Cnidium monnieri,Apiaceae,snow parsley,E As,fruit,van_wyk_culinary_2014
Cocos nucifera,Arecaceae,coconut,Trop As,fruit,van_wyk_culinary_2014
Coffea arabica,Rubiaceae,coffee; Arabian coffee,NE Afr (Ethiopia),seed,van_wyk_culinary_2014
Coffea canephora,Rubiaceae,robusta coffee; Congo coffee,Afr,seed,van_wyk_culinary_2014
Coffea liberica,Rubiaceae,Liberian or Abeokuta coffee,Afr,seed,van_wyk_culinary_2014
Cola acuminata,Malvaceae,cola nut; abata cola,W Afr,seed,van_wyk_culinary_2014
Cola nitida,Malvaceae,gbanja cola,Afr,seed,van_wyk_culinary_2014
Coluria geoides,Rosaceae,Siberian avens; clove root; clove oil plant,As,root,van_wyk_culinary_2014
Coriandrum sativum,Apiaceae,coriander; cilantro; Chinese parsley,Med; W As; Ind,fruit; leaf,van_wyk_culinary_2014
Corylus americana,Betulaceae,American hazelnut,N Am,seed,van_wyk_culinary_2014
Corylus avellana,Betulaceae,hazelnut,Eur; As,seed,van_wyk_culinary_2014
Corylus colurna,Betulaceae,Turkish hazelnut,W As,seed,van_wyk_culinary_2014
Corylus maxima,Betulaceae,filbert,Eur; C & W As,seed,van_wyk_culinary_2014
Cosmos sulphureus,Asteraceae,orange cosmos; yellow cosmos,N Am,herb,van_wyk_culinary_2014
